"","Date","Experimental_leaf","Leaf_removal","ColonySize","Prop.new","Treatment","Colony","Week","Agegroup","IB_taken","Leaves_taken","Prop_PT","Set","EorN","ln_LeavesTaken","IB_prop","PT_taken","Year","Queen"
"1",20170427,"IB","IB removal",268,0,"CHX","31503",1,"old",1,14,0.0714285714285714,"I","Experienced",2.63905732961526,0.0714285714285714,1,"2017","original"
"2",20170427,"IB","IB removal",320,0,"CHX","GreenTub",1,"old",0,23,0,"I","Experienced",3.13549421592915,0,0,"2017","original"
"3",20170427,"IB","IB removal",507,0,"CHX","31502",1,"old",0,42,0,"I","Experienced",3.73766961828337,0,0,"2017","original"
"4",20170427,"IB","IB removal",565,0,"CHX","31501",1,"old",2,48,0.0416666666666667,"I","Experienced",3.87120101090789,0.0416666666666667,2,"2017","original"
"5",20170510,"IB","IB removal",212,0.188679245283019,"CHX","31503",3,"new",0,3,0,"I","Naive",1.09861228866811,0,0,"2017","original"
"6",20170510,"IB","IB removal",212,0.188679245283019,"CHX","31503",3,"old",1,26,0.0384615384615385,"I","Experienced",3.25809653802148,0.0384615384615385,1,"2017","original"
"7",20170510,"IB","IB removal",276,0.0760869565217391,"CHX","GreenTub",3,"old",1,30,0.0333333333333333,"I","Experienced",3.40119738166216,0.0333333333333333,1,"2017","original"
"8",20170510,"IB","IB removal",424,0.129716981132075,"CHX","31501",3,"old",1,51,0.0196078431372549,"I","Experienced",3.93182563272433,0.0196078431372549,1,"2017","original"
"9",20170510,"IB","IB removal",439,0.138952164009112,"CHX","31502",3,"old",0,42,0,"I","Experienced",3.73766961828337,0,0,"2017","original"
"10",20170515,"IB","IB removal",149,0,"Control","41901",1,"old",40,49,0.816326530612245,"II","Experienced",3.89182029811063,0.816326530612245,40,"2017","original"
"11",20170515,"IB","IB removal",203,0,"Control","41902",1,"old",41,53,0.773584905660377,"II","Experienced",3.97029191355212,0.773584905660377,41,"2017","original"
"12",20170515,"IB","IB removal",240,0,"Control","42001",1,"old",39,59,0.661016949152542,"II","Experienced",4.07753744390572,0.661016949152542,39,"2017","original"
"13",20170524,"IB","IB removal",128,0.1328125,"CHX","GreenTub",5,"old",10,55,0.181818181818182,"I","Experienced",4.00733318523247,0.181818181818182,10,"2017","original"
"14",20170524,"IB","IB removal",335,0.155223880597015,"CHX","31502",5,"old",3,72,0.0416666666666667,"I","Experienced",4.27666611901606,0.0416666666666667,3,"2017","original"
"15",20170524,"IB","IB removal",384,0.145833333333333,"CHX","31501",5,"old",1,62,0.0161290322580645,"I","Experienced",4.12713438504509,0.0161290322580645,1,"2017","original"
"16",20170527,"IB","IB removal",29,0,"CHX","21801",1,"old",7,12,0.583333333333333,"I","Experienced",2.484906649788,0.583333333333333,7,"2017","original"
"17",20170527,"IB","IB removal",46,0,"CHX","22301",1,"old",6,15,0.4,"I","Experienced",2.70805020110221,0.4,6,"2017","original"
"18",20170527,"IB","IB removal",109,0,"CHX","42002",1,"old",5,15,0.333333333333333,"I","Experienced",2.70805020110221,0.333333333333333,5,"2017","original"
"19",20170527,"IB","IB removal",230,0,"Control","51303",1,"old",56,79,0.708860759493671,"II","Experienced",4.36944785246702,0.708860759493671,56,"2017","original"
"20",20170527,"IB","IB removal",325,0,"Control","51302",1,"old",66,116,0.568965517241379,"II","Experienced",4.75359019110636,0.568965517241379,66,"2017","original"
"21",20170527,"IB","IB removal",404,0,"Control","51301",1,"old",59,127,0.464566929133858,"II","Experienced",4.84418708645859,0.464566929133858,59,"2017","original"
"22",20170528,"IB","IB removal",106,0.0849056603773585,"Control","41901",3,"old",61,87,0.701149425287356,"II","Experienced",4.46590811865458,0.701149425287356,61,"2017","original"
"23",20170528,"IB","IB removal",145,0.0827586206896552,"Control","41902",3,"new",0,2,0,"II","Naive",0.693147180559945,0,0,"2017","original"
"24",20170528,"IB","IB removal",145,0.0827586206896552,"Control","41902",3,"old",45,87,0.517241379310345,"II","Experienced",4.46590811865458,0.517241379310345,45,"2017","original"
"25",20170528,"IB","IB removal",226,0.261061946902655,"Control","42001",3,"old",51,89,0.573033707865168,"II","Experienced",4.48863636973214,0.573033707865168,51,"2017","original"
"26",20170607,"IB","IB removal",132,0.204545454545455,"CHX","GreenTub",7,"new",1,2,0.5,"I","Naive",0.693147180559945,0.5,1,"2017","original"
"27",20170607,"IB","IB removal",132,0.204545454545455,"CHX","GreenTub",7,"old",3,52,0.0576923076923077,"I","Experienced",3.95124371858143,0.0576923076923077,3,"2017","original"
"28",20170607,"IB","IB removal",176,0.215909090909091,"CHX","31503",7,"old",0,13,0,"I","Experienced",2.56494935746154,0,0,"2017","original"
"29",20170607,"IB","IB removal",263,0.159695817490494,"CHX","31501",7,"old",0,53,0,"I","Experienced",3.97029191355212,0,0,"2017","original"
"30",20170607,"IB","IB removal",293,0.167235494880546,"CHX","31502",7,"old",0,53,0,"I","Experienced",3.97029191355212,0,0,"2017","original"
"31",20170609,"IB","IB removal",54,0.518518518518518,"CHX","21801",3,"old",0,8,0,"I","Experienced",2.07944154167984,0,0,"2017","original"
"32",20170609,"IB","IB removal",78,0.179487179487179,"CHX","42002",3,"old",17,51,0.333333333333333,"I","Experienced",3.93182563272433,0.333333333333333,17,"2017","original"
"33",20170609,"IB","IB removal",238,0.5,"Control","51303",3,"new",3,4,0.75,"II","Naive",1.38629436111989,0.75,3,"2017","original"
"34",20170609,"IB","IB removal",238,0.5,"Control","51303",3,"old",45,79,0.569620253164557,"II","Experienced",4.36944785246702,0.569620253164557,45,"2017","original"
"35",20170609,"IB","IB removal",277,0.223826714801444,"Control","51302",3,"old",73,95,0.768421052631579,"II","Experienced",4.55387689160054,0.768421052631579,73,"2017","original"
"36",20170609,"IB","IB removal",340,0.185294117647059,"Control","51301",3,"old",48,102,0.470588235294118,"II","Experienced",4.62497281328427,0.470588235294118,48,"2017","original"
"37",20170611,"IB","IB removal",71,0.211267605633803,"Control","41901",5,"old",35,48,0.729166666666667,"II","Experienced",3.87120101090789,0.729166666666667,35,"2017","original"
"38",20170611,"IB","IB removal",97,0.402061855670103,"Control","41902",5,"old",35,61,0.573770491803279,"II","Experienced",4.11087386417331,0.573770491803279,35,"2017","original"
"39",20170611,"IB","IB removal",199,0.537688442211055,"Control","42001",5,"new",14,18,0.777777777777778,"II","Naive",2.89037175789616,0.777777777777778,14,"2017","original"
"40",20170611,"IB","IB removal",199,0.537688442211055,"Control","42001",5,"old",28,63,0.444444444444444,"II","Experienced",4.14313472639153,0.444444444444444,28,"2017","original"
"41",20170614,"IB","IB removal",319,0,"CHX","52501",1,"old",7,78,0.0897435897435897,"I","Experienced",4.35670882668959,0.0897435897435897,7,"2017","original"
"42",20170614,"IB","IB removal",363,0,"CHX","52504",1,"old",4,30,0.133333333333333,"I","Experienced",3.40119738166216,0.133333333333333,4,"2017","original"
"43",20170614,"IB","IB removal",379,0,"CHX","52502",1,"old",0,29,0,"I","Experienced",3.36729582998647,0,0,"2017","original"
"44",20170614,"IB","IB removal",425,0,"Control","52503",1,"old",43,99,0.434343434343434,"II","Experienced",4.59511985013459,0.434343434343434,43,"2017","original"
"45",20170614,"IB","IB removal",579,0,"CHX","52001",1,"old",1,48,0.0208333333333333,"I","Experienced",3.87120101090789,0.0208333333333333,1,"2017","original"
"46",20170614,"IB","IB removal",618,0,"Control","52002",1,"old",35,80,0.4375,"II","Experienced",4.38202663467388,0.4375,35,"2017","original"
"47",20170621,"IB","IB removal",92,0.0543478260869565,"CHX","GreenTub",9,"new",1,1,1,"I","Naive",0,1,1,"2017","original"
"48",20170621,"IB","IB removal",92,0.0543478260869565,"CHX","GreenTub",9,"old",4,85,0.0470588235294118,"I","Experienced",4.44265125649032,0.0470588235294118,4,"2017","original"
"49",20170621,"IB","IB removal",117,0.213675213675214,"CHX","31503",9,"new",1,3,0.333333333333333,"I","Naive",1.09861228866811,0.333333333333333,1,"2017","original"
"50",20170621,"IB","IB removal",117,0.213675213675214,"CHX","31503",9,"old",0,48,0,"I","Experienced",3.87120101090789,0,0,"2017","original"
"51",20170621,"IB","IB removal",156,0.391025641025641,"CHX","31501",9,"new",3,7,0.428571428571429,"I","Naive",1.94591014905531,0.428571428571429,3,"2017","requeened"
"52",20170621,"IB","IB removal",156,0.391025641025641,"CHX","31501",9,"old",18,58,0.310344827586207,"I","Experienced",4.06044301054642,0.310344827586207,18,"2017","requeened"
"53",20170621,"IB","IB removal",194,0.237113402061856,"CHX","31502",9,"new",1,2,0.5,"I","Naive",0.693147180559945,0.5,1,"2017","original"
"54",20170621,"IB","IB removal",194,0.237113402061856,"CHX","31502",9,"old",2,69,0.0289855072463768,"I","Experienced",4.23410650459726,0.0289855072463768,2,"2017","original"
"55",20170623,"IB","IB removal",48,0.291666666666667,"CHX","42002",5,"old",3,13,0.230769230769231,"I","Experienced",2.56494935746154,0.230769230769231,3,"2017","original"
"56",20170623,"IB","IB removal",74,0.756756756756757,"CHX","21801",5,"new",1,5,0.2,"I","Naive",1.6094379124341,0.2,1,"2017","original"
"57",20170623,"IB","IB removal",74,0.756756756756757,"CHX","21801",5,"old",0,22,0,"I","Experienced",3.09104245335832,0,0,"2017","original"
"58",20170623,"IB","IB removal",137,0.897810218978102,"Control","51303",5,"new",7,20,0.35,"II","Naive",2.99573227355399,0.35,7,"2017","original"
"59",20170623,"IB","IB removal",137,0.897810218978102,"Control","51303",5,"old",2,7,0.285714285714286,"II","Experienced",1.94591014905531,0.285714285714286,2,"2017","original"
"60",20170623,"IB","IB removal",199,0.522613065326633,"Control","51302",5,"new",1,6,0.166666666666667,"II","Naive",1.79175946922805,0.166666666666667,1,"2017","original"
"61",20170623,"IB","IB removal",199,0.522613065326633,"Control","51302",5,"old",34,75,0.453333333333333,"II","Experienced",4.31748811353631,0.453333333333333,34,"2017","original"
"62",20170623,"IB","IB removal",203,0.684729064039409,"Control","51301",5,"new",0,1,0,"II","Naive",0,0,0,"2017","original"
"63",20170623,"IB","IB removal",203,0.684729064039409,"Control","51301",5,"old",36,48,0.75,"II","Experienced",3.87120101090789,0.75,36,"2017","original"
"64",20170625,"IB","IB removal",34,0.5,"Control","41901",7,"old",23,42,0.547619047619048,"II","Experienced",3.73766961828337,0.547619047619048,23,"2017","original"
"65",20170625,"IB","IB removal",79,0.734177215189873,"Control","41902",7,"new",10,17,0.588235294117647,"II","Naive",2.83321334405622,0.588235294117647,10,"2017","original"
"66",20170625,"IB","IB removal",79,0.734177215189873,"Control","41902",7,"old",35,64,0.546875,"II","Experienced",4.15888308335967,0.546875,35,"2017","original"
"67",20170625,"IB","IB removal",193,0.83419689119171,"Control","42001",7,"new",24,58,0.413793103448276,"II","Naive",4.06044301054642,0.413793103448276,24,"2017","original"
"68",20170625,"IB","IB removal",193,0.83419689119171,"Control","42001",7,"old",12,21,0.571428571428571,"II","Experienced",3.04452243772342,0.571428571428571,12,"2017","original"
"69",20170627,"IB","IB removal",352,0.346590909090909,"CHX","52504",3,"old",0,17,0,"I","Experienced",2.83321334405622,0,0,"2017","original"
"70",20170627,"IB","IB removal",359,0.328690807799443,"CHX","52502",3,"old",0,29,0,"I","Experienced",3.36729582998647,0,0,"2017","original"
"71",20170627,"IB","IB removal",388,0.381443298969072,"Control","52503",3,"old",49,107,0.457943925233645,"II","Experienced",4.67282883446191,0.457943925233645,49,"2017","original"
"72",20170627,"IB","IB removal",405,0.444444444444444,"CHX","52501",3,"old",3,48,0.0625,"I","Experienced",3.87120101090789,0.0625,3,"2017","original"
"73",20170627,"IB","IB removal",427,0.637002341920375,"CHX","52001",3,"new",0,6,0,"I","Naive",1.79175946922805,0,0,"2017","original"
"74",20170627,"IB","IB removal",427,0.637002341920375,"CHX","52001",3,"old",2,43,0.0465116279069767,"I","Experienced",3.76120011569356,0.0465116279069767,2,"2017","original"
"75",20170627,"IB","IB removal",551,0.629764065335753,"Control","52002",3,"new",0,1,0,"II","Naive",0,0,0,"2017","original"
"76",20170627,"IB","IB removal",551,0.629764065335753,"Control","52002",3,"old",31,89,0.348314606741573,"II","Experienced",4.48863636973214,0.348314606741573,31,"2017","original"
"77",20170703,"IB","IB removal",402,0,"Control","62001",1,"old",58,95,0.610526315789474,"II","Experienced",4.55387689160054,0.610526315789474,58,"2017","original"
"78",20170703,"IB","IB removal",591,0,"Control","60601",1,"old",56,90,0.622222222222222,"II","Experienced",4.49980967033027,0.622222222222222,56,"2017","original"
"79",20170703,"IB","IB removal",622,0,"CHX","62002",1,"old",20,37,0.540540540540541,"I","Experienced",3.61091791264422,0.540540540540541,20,"2017","original"
"80",20170705,"IB","IB removal",86,0.0697674418604651,"CHX","GreenTub",11,"old",0,61,0,"I","Experienced",4.11087386417331,0,0,"2017","original"
"81",20170705,"IB","IB removal",134,0.537313432835821,"CHX","31503",11,"old",2,51,0.0392156862745098,"I","Experienced",3.93182563272433,0.0392156862745098,2,"2017","original"
"82",20170705,"IB","IB removal",231,0.562770562770563,"CHX","31502",11,"old",0,63,0,"I","Experienced",4.14313472639153,0,0,"2017","original"
"83",20170705,"IB","IB removal",238,0.718487394957983,"CHX","31501",11,"new",0,2,0,"I","Naive",0.693147180559945,0,0,"2017","requeened"
"84",20170705,"IB","IB removal",238,0.718487394957983,"CHX","31501",11,"old",0,43,0,"I","Experienced",3.76120011569356,0,0,"2017","requeened"
"85",20170707,"IB","IB removal",42,0.928571428571429,"Control","51301",7,"new",0,19,0,"II","Naive",2.94443897916644,0,0,"2017","requeened"
"86",20170707,"IB","IB removal",53,0.811320754716981,"CHX","42002",7,"old",4,32,0.125,"I","Experienced",3.46573590279973,0.125,4,"2017","requeened"
"87",20170707,"IB","IB removal",81,0.987654320987654,"Control","51303",11,"new",1,34,0.0294117647058824,"II","Naive",3.52636052461616,0.0294117647058824,1,"2017","original"
"88",20170707,"IB","IB removal",89,0.775280898876405,"CHX","21801",7,"new",0,28,0,"I","Naive",3.3322045101752,0,0,"2017","original"
"89",20170707,"IB","IB removal",89,0.775280898876405,"CHX","21801",7,"old",2,14,0.142857142857143,"I","Experienced",2.63905732961526,0.142857142857143,2,"2017","original"
"90",20170707,"IB","IB removal",99,0.94949494949495,"Control","51303",7,"new",20,49,0.408163265306122,"II","Naive",3.89182029811063,0.408163265306122,20,"2017","original"
"91",20170707,"IB","IB removal",99,0.94949494949495,"Control","51303",7,"old",0,7,0,"II","Experienced",1.94591014905531,0,0,"2017","original"
"92",20170707,"IB","IB removal",138,0.789855072463768,"Control","51302",7,"new",18,58,0.310344827586207,"II","Naive",4.06044301054642,0.310344827586207,18,"2017","original"
"93",20170707,"IB","IB removal",138,0.789855072463768,"Control","51302",7,"old",3,8,0.375,"II","Experienced",2.07944154167984,0.375,3,"2017","original"
"94",20170709,"IB","IB removal",23,0.695652173913043,"Control","41901",9,"new",6,13,0.461538461538462,"II","Naive",2.56494935746154,0.461538461538462,6,"2017","original"
"95",20170709,"IB","IB removal",23,0.695652173913043,"Control","41901",9,"old",12,13,0.923076923076923,"II","Experienced",2.56494935746154,0.923076923076923,12,"2017","original"
"96",20170709,"IB","IB removal",76,0.881578947368421,"Control","41902",9,"new",14,34,0.411764705882353,"II","Naive",3.52636052461616,0.411764705882353,14,"2017","original"
"97",20170709,"IB","IB removal",76,0.881578947368421,"Control","41902",9,"old",2,3,0.666666666666667,"II","Experienced",1.09861228866811,0.666666666666667,2,"2017","original"
"98",20170709,"IB","IB removal",190,0.884210526315789,"Control","42001",9,"new",5,49,0.102040816326531,"II","Naive",3.89182029811063,0.102040816326531,5,"2017","original"
"99",20170709,"IB","IB removal",190,0.884210526315789,"Control","42001",9,"old",0,1,0,"II","Experienced",0,0,0,"2017","original"
"100",20170711,"IB","IB removal",261,0.490421455938697,"CHX","52502",5,"old",0,82,0,"I","Experienced",4.40671924726425,0,0,"2017","original"
"101",20170711,"IB","IB removal",302,0.516556291390728,"Control","52503",5,"old",58,95,0.610526315789474,"II","Experienced",4.55387689160054,0.610526315789474,58,"2017","original"
"102",20170711,"IB","IB removal",341,0.392961876832845,"CHX","52504",5,"old",2,46,0.0434782608695652,"I","Experienced",3.8286413964891,0.0434782608695652,2,"2017","original"
"103",20170711,"IB","IB removal",436,0.743119266055046,"CHX","52501",5,"old",0,20,0,"I","Experienced",2.99573227355399,0,0,"2017","original"
"104",20170711,"IB","IB removal",483,0.954451345755694,"CHX","52001",5,"new",0,18,0,"I","Naive",2.89037175789616,0,0,"2017","original"
"105",20170711,"IB","IB removal",543,0.880294659300184,"Control","52002",5,"new",2,21,0.0952380952380952,"II","Naive",3.04452243772342,0.0952380952380952,2,"2017","original"
"106",20170711,"IB","IB removal",543,0.880294659300184,"Control","52002",5,"old",2,13,0.153846153846154,"II","Experienced",2.56494935746154,0.153846153846154,2,"2017","original"
"107",20170716,"IB","IB removal",355,0.129577464788732,"Control","62001",3,"old",113,214,0.52803738317757,"II","Experienced",5.36597601502185,0.52803738317757,113,"2017","original"
"108",20170716,"IB","IB removal",461,0.268980477223427,"CHX","62002",3,"old",0,62,0,"I","Experienced",4.12713438504509,0,0,"2017","original"
"109",20170716,"IB","IB removal",554,0.249097472924188,"Control","60601",3,"old",60,121,0.495867768595041,"II","Experienced",4.79579054559674,0.495867768595041,60,"2017","original"
"110",20170719,"IB","IB removal",96,0.208333333333333,"CHX","GreenTub",13,"old",0,20,0,"I","Experienced",2.99573227355399,0,0,"2017","original"
"111",20170719,"IB","IB removal",121,0.578512396694215,"CHX","31503",13,"new",0,1,0,"I","Naive",0,0,0,"2017","original"
"112",20170719,"IB","IB removal",121,0.578512396694215,"CHX","31503",13,"old",1,40,0.025,"I","Experienced",3.68887945411394,0.025,1,"2017","original"
"113",20170719,"IB","IB removal",225,0.88,"CHX","31501",13,"new",1,19,0.0526315789473684,"I","Naive",2.94443897916644,0.0526315789473684,1,"2017","requeened"
"114",20170719,"IB","IB removal",225,0.88,"CHX","31501",13,"old",1,17,0.0588235294117647,"I","Experienced",2.83321334405622,0.0588235294117647,1,"2017","requeened"
"115",20170719,"IB","IB removal",236,0.635593220338983,"CHX","31502",13,"new",0,3,0,"I","Naive",1.09861228866811,0,0,"2017","original"
"116",20170719,"IB","IB removal",236,0.635593220338983,"CHX","31502",13,"old",0,26,0,"I","Experienced",3.25809653802148,0,0,"2017","original"
"117",20170721,"IB","IB removal",24,0.958333333333333,"Control","51301",9,"new",0,18,0,"II","Naive",2.89037175789616,0,0,"2017","requeened"
"118",20170721,"IB","IB removal",66,0.772727272727273,"CHX","42002",9,"new",0,6,0,"I","Naive",1.79175946922805,0,0,"2017","requeened"
"119",20170721,"IB","IB removal",66,0.772727272727273,"CHX","42002",9,"old",0,13,0,"I","Experienced",2.56494935746154,0,0,"2017","requeened"
"120",20170721,"IB","IB removal",87,0.954022988505747,"Control","51302",9,"new",0,19,0,"II","Naive",2.94443897916644,0,0,"2017","original"
"121",20170721,"IB","IB removal",97,0.835051546391753,"CHX","21801",9,"new",0,22,0,"I","Naive",3.09104245335832,0,0,"2017","original"
"122",20170721,"IB","IB removal",97,0.835051546391753,"CHX","21801",9,"old",0,8,0,"I","Experienced",2.07944154167984,0,0,"2017","original"
"123",20170721,"IB","IB removal",107,0.897196261682243,"Control","51303",9,"new",15,59,0.254237288135593,"II","Naive",4.07753744390572,0.254237288135593,15,"2017","original"
"124",20170723,"IB","IB removal",15,0.866666666666667,"Control","41901",11,"new",6,26,0.230769230769231,"II","Naive",3.25809653802148,0.230769230769231,6,"2017","original"
"125",20170723,"IB","IB removal",15,0.866666666666667,"Control","41901",11,"old",2,4,0.5,"II","Experienced",1.38629436111989,0.5,2,"2017","original"
"126",20170723,"IB","IB removal",79,0.924050632911392,"Control","41902",11,"new",17,45,0.377777777777778,"II","Naive",3.80666248977032,0.377777777777778,17,"2017","original"
"127",20170723,"IB","IB removal",79,0.924050632911392,"Control","41902",11,"old",7,7,1,"II","Experienced",1.94591014905531,1,7,"2017","original"
"128",20170723,"IB","IB removal",179,0.927374301675978,"Control","42001",11,"new",4,54,0.0740740740740741,"II","Naive",3.98898404656427,0.0740740740740741,4,"2017","original"
"129",20170723,"IB","IB removal",179,0.927374301675978,"Control","42001",11,"old",0,1,0,"II","Experienced",0,0,0,"2017","original"
"130",20170725,"IB","IB removal",200,0.575,"CHX","52502",7,"new",0,16,0,"I","Naive",2.77258872223978,0,0,"2017","original"
"131",20170725,"IB","IB removal",200,0.575,"CHX","52502",7,"old",1,28,0.0357142857142857,"I","Experienced",3.3322045101752,0.0357142857142857,1,"2017","original"
"132",20170725,"IB","IB removal",200,0.705,"Control","52503",7,"new",23,68,0.338235294117647,"II","Naive",4.21950770517611,0.338235294117647,23,"2017","original"
"133",20170725,"IB","IB removal",200,0.705,"Control","52503",7,"old",3,5,0.6,"II","Experienced",1.6094379124341,0.6,3,"2017","original"
"134",20170725,"IB","IB removal",288,0.420138888888889,"CHX","52504",7,"new",0,2,0,"I","Naive",0.693147180559945,0,0,"2017","original"
"135",20170725,"IB","IB removal",288,0.420138888888889,"CHX","52504",7,"old",0,47,0,"I","Experienced",3.85014760171006,0,0,"2017","original"
"136",20170725,"IB","IB removal",358,1,"CHX","52001",7,"new",4,28,0.142857142857143,"I","Naive",3.3322045101752,0.142857142857143,4,"2017","original"
"137",20170725,"IB","IB removal",427,0.836065573770492,"CHX","52501",7,"new",1,57,0.0175438596491228,"I","Naive",4.04305126783455,0.0175438596491228,1,"2017","original"
"138",20170725,"IB","IB removal",427,0.836065573770492,"CHX","52501",7,"old",0,6,0,"I","Experienced",1.79175946922805,0,0,"2017","original"
