"","Colony","Week","Treatment","IB_taken","Leaves_taken","Date","Collection.Code","LS.removed","IB.removed","hour_removed"
"1","Amy",1,"CHX IB",0,13,20180311,"0826-03",0,0,6
"2","Amy",11,"CHX IB",1,34,20180521,"0826-03",1,0,4
"3","Amy",13,"CHX IB",0,6,20180604,"0826-03",0,0,6
"4","Amy",15,"CHX IB",1,31,20180618,"0826-03",2,0,6
"5","Amy",17,"CHX IB",2,13,20180701,"0826-03",0,0,6
"6","Amy",19,"CHX IB",0,17,20180715,"0826-03",0,0,6
"7","Amy",3,"CHX IB",0,41,20180325,"0826-03",0,0,2
"8","Amy",5,"CHX IB",0,9,20180409,"0826-03",0,0,6
"9","Amy",7,"CHX IB",0,32,20180423,"0826-03",0,0,4
"10","Amy",9,"CHX IB",1,42,20180507,"0826-03",0,0,2
"11","Andrew",1,"Sham IB",28,30,20180325,"0224-02",0,0,2
"12","Andrew",3,"Sham IB",44,54,20180409,"0224-02",0,0,4
"13","Andrew",5,"Sham IB",25,30,20180423,"0224-02",0,0,6
"14","Andrew",7,"Sham IB",36,49,20180507,"0224-02",8,22,6
"15","Andrew",9,"Sham IB",13,15,20180521,"0224-02",0,0,6
"16","Angel",1,"CHX LS",27,27,20180108,"1217-01",0,0,NA
"17","Angel",11,"CHX LS",70,70,20180318,"1217-01",0,0,2
"18","Angel",13,"CHX LS",53,63,20180402,"1217-01",10,0,2
"19","Angel",15,"CHX LS",51,51,20180416,"1217-01",0,0,2
"20","Angel",17,"CHX LS",74,108,20180430,"1217-01",0,0,4
"21","Angel",19,"CHX LS",59,64,20180514,"1217-01",3,0,6
"22","Angel",21,"CHX LS",57,75,20180528,"1217-01",0,0,2
"23","Angel",23,"CHX LS",50,81,20180611,"1217-01",0,0,6
"24","Angel",3,"CHX LS",35,36,20180122,"1217-01",0,0,NA
"25","Angel",5,"CHX LS",29,29,20180205,"1217-01",0,0,2
"26","Angel",7,"CHX LS",47,48,20180220,"1217-01",1,0,6
"27","Angel",9,"CHX LS",57,67,20180306,"1217-01",10,0,2
"28","Anya",1,"CHX IB",9,72,20180108,"1216-01",0,0,NA
"29","Anya",11,"CHX IB",1,55,20180318,"1216-01",19,1,6
"30","Anya",13,"CHX IB",1,73,20180402,"1216-01",0,1,6
"31","Anya",15,"CHX IB",5,70,20180416,"1216-01",24,3,1
"32","Anya",17,"CHX IB",35,85,20180430,"1216-01",5,0,5
"33","Anya",19,"CHX IB",39,78,20180514,"1216-01",0,0,6
"34","Anya",21,"CHX IB",44,85,20180528,"1216-01",21,0,4.5
"35","Anya",23,"CHX IB",81,116,20180611,"1216-01",28,0,6
"36","Anya",3,"CHX IB",1,18,20180122,"1216-01",0,0,NA
"37","Anya",5,"CHX IB",1,14,20180205,"1216-01",0,1,2
"38","Anya",7,"CHX IB",0,39,20180220,"1216-01",0,7,6
"39","Anya",9,"CHX IB",2,43,20180305,"1216-01",9,2,6
"40","Bunny",1,"Sham LS",44,72,20180206,"1216-01S1",0,0,2
"41","Bunny",11,"Sham LS",11,16,20180416,"1216-01",0,0,2
"42","Bunny",13,"Sham LS",60,106,20180430,"1216-01",0,0,2
"43","Bunny",15,"Sham LS",49,75,20180514,"1216-01",0,0,4
"44","Bunny",17,"Sham LS",22,64,20180528,"1216-01",11,11,6
"45","Bunny",19,"Sham LS",67,135,20180611,"1216-01",34,0,6
"46","Bunny",21,"Sham LS",21,55,20180624,"1216-01",0,0,6
"47","Bunny",23,"Sham LS",43,84,20180708,"1216-01",0,0,6
"48","Bunny",3,"Sham LS",66,124,20180219,"1216-01S1",0,0,2
"49","Bunny",5,"Sham LS",43,79,20180307,"1216-01S1",0,0,2
"50","Bunny",7,"Sham LS",40,69,20180318,"1216-01",0,0,4
"51","Bunny",9,"Sham LS",50,103,20180402,"1216-01",0,0,2
"52","Clem",1,"CHX IB",0,8,20180311,"0220-01",0,0,4
"53","Clem",11,"CHX IB",11,17,20180521,"0220-01",4,1,6
"54","Clem",13,"CHX IB",3,17,20180604,"0220-01",2,2,6
"55","Clem",15,"CHX IB",2,16,20180618,"0220-01",4,2,6
"56","Clem",17,"CHX IB",1,10,20180701,"0220-01",0,0,6
"57","Clem",19,"CHX IB",12,18,20180715,"0220-01",0,0,6
"58","Clem",3,"CHX IB",0,17,20180325,"0220-01",0,0,2
"59","Clem",5,"CHX IB",0,26,20180409,"0220-01",0,0,2
"60","Clem",7,"CHX IB",0,24,20180423,"0220-01",0,0,4
"61","Clem",9,"CHX IB",4,26,20180507,"0220-01",5,0,6
"62","Cordelia",1,"Sham LS",44,90,20180108,"1206-01",0,0,NA
"63","Cordelia",11,"Sham LS",65,112,20180318,"1206-01",0,0,2
"64","Cordelia",13,"Sham LS",67,121,20180402,"1206-01",0,0,2
"65","Cordelia",15,"Sham LS",66,114,20180416,"1206-01",0,0,2
"66","Cordelia",17,"Sham LS",51,112,20180430,"1206-01",0,0,2
"67","Cordelia",19,"Sham LS",57,97,20180514,"1206-01",0,0,2
"68","Cordelia",3,"Sham LS",64,116,20180122,"1206-01",0,0,NA
"69","Cordelia",5,"Sham LS",49,71,20180205,"1206-01",0,0,2
"70","Cordelia",7,"Sham LS",33,63,20180220,"1206-01",0,0,2
"71","Cordelia",9,"Sham LS",43,71,20180306,"1206-01",0,0,2
"72","Dawn",1,"Sham IB",2,2,20180221,"1218-02",0,0,2
"73","Dawn",11,"Sham IB",18,30,20180430,"1218-02",0,0,2
"74","Dawn",13,"Sham IB",7,11,20180514,"1218-02",0,0,6
"75","Dawn",15,"Sham IB",1,16,20180528,"1218-02",0,0,6
"76","Dawn",17,"Sham IB",3,11,20180611,"1218-02",0,0,2
"77","Dawn",3,"Sham IB",33,66,20180307,"1218-02",0,0,4
"78","Dawn",5,"Sham IB",21,44,20180318,"1218-02",0,0,6
"79","Dawn",7,"Sham IB",37,62,20180402,"1218-02",0,0,4
"80","Dawn",9,"Sham IB",16,40,20180416,"1218-02",0,0,6
"81","Druscilla",1,"CHX LS",3,3,20180206,"0127-02",0,0,2
"82","Druscilla",3,"CHX LS",9,11,20180219,"0127-02",2,0,6
"83","Druscilla",5,"CHX LS",31,45,20180306,"0127-02",14,0,2
"84","Druscilla",7,"CHX LS",48,52,20180318,"0127-02",2,0,2
"85","Hapshetsut",1,"Sham LS",7,18,20180311,"0119-01",0,0,2
"86","Hapshetsut",11,"Sham LS",38,74,20180521,"0119-01",3,0,6
"87","Hapshetsut",13,"Sham LS",17,38,20180604,"0119-01",0,0,4
"88","Hapshetsut",15,"Sham LS",41,90,20180618,"0119-01",0,0,2
"89","Hapshetsut",17,"Sham LS",28,34,20180701,"0119-01",0,0,6
"90","Hapshetsut",19,"Sham LS",28,56,20180715,"0119-01",0,0,6
"91","Hapshetsut",3,"Sham LS",1,8,20180325,"0119-01",0,0,2
"92","Hapshetsut",5,"Sham LS",21,70,20180409,"0119-01",0,0,4
"93","Hapshetsut",7,"Sham LS",24,34,20180423,"0119-01",0,0,2
"94","Hapshetsut",9,"Sham LS",6,20,20180507,"0119-01",0,0,4
"95","Harmony",1,"CHX IB",0,45,20180221,"1218-01",36,0,6
"96","Harmony",11,"CHX IB",39,102,20180430,"1218-01",0,0,2
"97","Harmony",13,"CHX IB",32,48,20180514,"1218-01",0,0,4
"98","Harmony",15,"CHX IB",21,41,20180528,"1218-01",0,0,4
"99","Harmony",17,"CHX IB",30,62,20180611,"1218-01",0,0,6
"100","Harmony",19,"CHX IB",27,60,20180624,"1218-01",0,0,6
"101","Harmony",21,"CHX IB",49,70,20180708,"1218-01",0,0,6
"102","Harmony",3,"CHX IB",28,75,20180305,"1218-01",7,0,4
"103","Harmony",5,"CHX IB",2,40,20180318,"1218-01",0,0,6
"104","Harmony",7,"CHX IB",11,88,20180402,"1218-01",0,0,6
"105","Harmony",9,"CHX IB",18,59,20180416,"1218-01",0,0,6
"106","Joan",1,"CHX LS",19,19,20180311,"0225-01",0,0,2
"107","Joan",11,"CHX LS",18,25,20180521,"0225-01",0,0,2
"108","Joan",13,"CHX LS",56,99,20180604,"0225-01",18,0,6
"109","Joan",15,"CHX LS",70,107,20180618,"0225-01",32,1,6
"110","Joan",17,"CHX LS",47,58,20180701,"0225-01",11,0,2
"111","Joan",19,"CHX LS",52,79,20180715,"0225-01",0,0,6
"112","Joan",3,"CHX LS",44,44,20180325,"0225-01",0,0,2
"113","Joan",5,"CHX LS",7,7,20180409,"0225-01",0,0,2
"114","Joan",7,"CHX LS",64,64,20180423,"0225-01",0,0,2
"115","Joan",9,"CHX LS",73,73,20180507,"0225-01",0,0,4
"116","Kendra",1,"Sham IB",5,32,20180311,"0221-01",0,0,2
"117","Kendra",11,"Sham IB",6,30,20180521,"0221-01",0,0,2
"118","Kendra",13,"Sham IB",10,27,20180604,"0221-01",0,0,4
"119","Kendra",15,"Sham IB",84,129,20180618,"0221-01",0,0,4
"120","Kendra",3,"Sham IB",1,36,20180325,"0221-01",0,0,2
"121","Kendra",5,"Sham IB",9,42,20180409,"0221-01",0,0,2
"122","Kendra",7,"Sham IB",2,19,20180423,"0221-01",0,1,6
"123","Kendra",9,"Sham IB",6,32,20180507,"0221-01",0,0,4
"124","Ms. Calendar",1,"Sham IB",59,122,20180108,"1218-03",0,0,NA
"125","Ms. Calendar",11,"Sham IB",43,71,20180318,"1218-03",0,0,4
"126","Ms. Calendar",13,"Sham IB",64,116,20180402,"1218-03",0,0,2
"127","Ms. Calendar",15,"Sham IB",51,87,20180416,"1218-03",0,0,4
"128","Ms. Calendar",17,"Sham IB",66,120,20180430,"1218-03",0,0,4
"129","Ms. Calendar",19,"Sham IB",75,102,20180514,"1218-03",0,0,4
"130","Ms. Calendar",3,"Sham IB",25,51,20180121,"1218-03",0,0,NA
"131","Ms. Calendar",5,"Sham IB",51,92,20180205,"1218-03",40,8,2
"132","Ms. Calendar",7,"Sham IB",39,55,20180219,"1218-03",6,0,6
"133","Ms. Calendar",9,"Sham IB",43,81,20180305,"1218-03",0,0,2
"134","Spike",1,"CHX LS",74,77,20180108,"1218-01",0,0,NA
"135","Spike",11,"CHX LS",29,29,20180318,"1218-01",0,0,2
"136","Spike",13,"CHX LS",35,35,20180402,"1218-01",0,0,2
"137","Spike",15,"CHX LS",22,23,20180416,"1218-01",0,0,2
"138","Spike",17,"CHX LS",35,56,20180430,"1218-01",0,0,4
"139","Spike",19,"CHX LS",49,89,20180514,"1218-01",19,0,4
"140","Spike",21,"CHX LS",27,47,20180528,"1218-01",14,0,4
"141","Spike",3,"CHX LS",45,46,20180122,"1218-01",0,0,NA
"142","Spike",5,"CHX LS",34,35,20180205,"1218-01",1,0,2
"143","Spike",7,"CHX LS",24,24,20180220,"1218-01",0,0,2
"144","Spike",9,"CHX LS",19,31,20180305,"1218-01",10,0,2
"145","Tara",1,"CHX IB",0,35,20180108,"1210-02",0,0,NA
"146","Tara",11,"CHX IB",18,43,20180318,"1210-02",0,0,6
"147","Tara",13,"CHX IB",28,79,20180402,"1210-02",0,0,4
"148","Tara",15,"CHX IB",25,95,20180416,"1210-02",0,0,3
"149","Tara",17,"CHX IB",26,80,20180430,"1210-02",0,0,6
"150","Tara",19,"CHX IB",2,18,20180514,"1210-02",0,0,6
"151","Tara",21,"CHX IB",20,50,20180528,"1210-02",9,0,1
"152","Tara",3,"CHX IB",0,19,20180121,"1210-02",0,0,NA
"153","Tara",5,"CHX IB",3,24,20180205,"1210-02",0,3,2
"154","Tara",7,"CHX IB",0,17,20180221,"1210-02",9,0,6
"155","Tara",9,"CHX IB",5,39,20180307,"1210-02",0,0,4
"156","The Anointed",1,"Sham LS",5,14,20180311,"0222-01",0,0,6
"157","The Anointed",11,"Sham LS",25,41,20180521,"0222-01",0,0,2
"158","The Anointed",13,"Sham LS",12,27,20180604,"0222-01",0,0,4
"159","The Anointed",15,"Sham LS",43,75,20180618,"0222-01",7,0,6
"160","The Anointed",17,"Sham LS",47,80,20180701,"0222-01",0,0,6
"161","The Anointed",3,"Sham LS",4,6,20180325,"0222-01",0,0,2
"162","The Anointed",5,"Sham LS",0,3,20180409,"0222-01",0,0,2
"163","The Anointed",7,"Sham LS",1,7,20180423,"0222-01",0,0,2
"164","The Anointed",9,"Sham LS",30,37,20180507,"0222-01",0,0,2
"165","The Brain",1,"CHX LS",78,79,20180325,"1207-01",1,0,6
"166","The Brain",11,"CHX LS",8,57,20180604,"1207-01",4,5,4
"167","The Brain",13,"CHX LS",0,12,20180618,"1207-01",0,0,2
"168","The Brain",15,"CHX LS",23,48,20180701,"1207-01",0,0,4
"169","The Brain",3,"CHX LS",75,76,20180409,"1207-01",0,0,2
"170","The Brain",5,"CHX LS",17,17,20180423,"1207-01",0,0,2
"171","The Brain",7,"CHX LS",38,39,20180507,"1207-01",1,0,4
"172","The Brain",9,"CHX LS",34,84,20180521,"1207-01",0,0,4
"173","The Mayor",1,"CHX LS",6,6,20180311,"0224-01",0,4,4.5
"174","The Mayor",13,"CHX LS",2,3,20180604,"0224-01",0,0,2
"175","The Mayor",15,"CHX LS",38,39,20180618,"0224-01",0,0,6
"176","The Mayor",17,"CHX LS",33,54,20180701,"0224-01",21,1,2
"177","The Mayor",19,"CHX LS",NA,NA,20180715,"0224-01",0,0,6
"178","The Mayor",3,"CHX LS",6,6,20180325,"0224-01",0,5,6
"179","The Mayor",5,"CHX LS",14,14,20180409,"0224-01",0,0,2
"180","The Mayor",7,"CHX LS",4,5,20180423,"0224-01",1,0,6
"181","The Mayor",9,"CHX LS",4,4,20180507,"0224-01",0,0,2
